Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Obovarie ronde,,En voie de disparition,2013-05-03,Obovaria subrotunda,Obovarie ronde,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Ontario,Mollusques,,Ajout à la liste
Océanite cul-blanc,Population de l'Atlantique,Menacée,2020-11-04,Oceanodroma leucorhoa,Océanite cul-blanc,Population de l'Atlantique,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Oiseaux,Un ajout,En attente
Omble à tête plate,Population de la partie supérieure du bassin versant du fleuve Yukon,Données insuffisantes,2025-05-08,Salvelinus confluentus,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Yukon",Poissons d'eau douce,,
Omble à tête plate,Population du Pacifique,Préoccupante,2025-05-08,Salvelinus confluentus,Omble à tête plate,Population du Pacifique,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,Un ajout,En attente
Omble à tête plate,Population de l'ouest de l'Arctique,Préoccupante,2025-05-08,Salvelinus confluentus,Omble à tête plate,Populations de l'ouest de l'Arctique,Préoccupante,2019-08-08,Annexe 1,2019-08-08,"Alberta, Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Poissons d'eau douce,,Ajout à la liste
Omble à tête plate,Population de la côte sud de la Colombie-Britannique,Préoccupante,2025-05-08,Salvelinus confluentus,Omble à tête plate,Populations de la côte sud de la Colombie-Britannique,Préoccupante,2019-08-08,Annexe 1,2019-08-08,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Omble à tête plate,Population de la rivière Saskatchewan et du fleuve Nelson,Menacée,2025-05-08,Salvelinus confluentus,Omble à tête plate,Populations de la rivière Saskatchewan et du fleuve Nelson,Menacée,2019-08-08,Annexe 1,2019-08-08,Alberta,Poissons d'eau douce,,Ajout à la liste
Omble aurora,,Non active,2011-05-06,Salvelinus fontinalis timagamiensis,Omble Aurora,,Aucun statut,2017-04-13,Aucune annexe,2003-06-05,Ontario,Poissons d'eau douce,,Retirer - ES invalide
Onagre à fruits tordus,,En voie de disparition,2006-04-29,Camissonia contorta,Onagre à fruits tordus,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Onagre de Cleland,,En voie de disparition,2023-12-01,Oenothera clelandii,Onagre de Cleland,,Aucun statut,,Aucune annexe,,Ontario,Plantes vasculaires,Un ajout,En attente
Ophiogomphe de Howe,,Préoccupante,2018-11-01,Ophiogomphus howei,Ophiogomphe de Howe,,Préoccupante,2011-02-04,Annexe 1,2011-02-04,"Nouveau-Brunswick, Ontario",Arthropodes,,Ajout à la liste
Oponce de l'Est,,En voie de disparition,2010-04-25,Opuntia humifusa,Oponce de l'Est,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Oreillard maculé,,Préoccupante,2014-11-28,Euderma maculatum,Oreillard maculé,,Préoccupante,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Mammifères terrestres,,Ajout à la liste
Orge naine,,Données insuffisantes,1993-04-01,Hordeum pusillum,,,Aucun statut,,Aucune annexe,,Alberta,Plantes vasculaires,,
Ormeau nordique,,En voie de disparition,2009-04-26,Haliotis kamtschatkana,Ormeau nordique,,En voie de disparition,2011-06-23,Annexe 1,2003-06-05,"Colombie-Britannique, Océan Pacifique",Mollusques,,Promouvoir: Menacée à en voie de disparition
Orobanche des pins,,En voie de disparition,2024-05-09,Aphyllon pinorum,Orobanche des pins,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,Un ajout,En attente
Orthocarpe à épi feuillu,,En voie de disparition,2004-05-01,Orthocarpus bracteosus,Orthocarpe à épi feuillu,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Orthocarpe barbu,,En voie de disparition,2005-05-05,Orthocarpus barbatus,Orthocarpe barbu,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Otarie à fourrure du Nord,,Menacée,2022-12-03,Callorhinus ursinus,Otarie à fourrure du Nord,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,Un ajout,En attente
Otarie de Californie,,Non en péril,1987-04-01,Zalophus californianus,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,
Otarie de Steller,,Préoccupante,2013-11-01,Eumetopias jubatus,Otarie de Steller,,Préoccupante,2005-07-14,Annexe 1,2005-07-14,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,Ajout à la liste
Ours blanc,,Préoccupante,2018-11-01,Ursus maritimus,Ours blanc,,Préoccupante,2011-10-27,Annexe 1,2011-10-27,"Manitoba, Nunavut, Océan Arctique, Ontario, Québec, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Ours grizzli,,Non active,1991-04-01,Ursus arctos,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Nunavut, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,
Ours grizzli,Population de l'Ouest,Préoccupante,2012-05-04,Ursus arctos,Ours grizzli,Population de l'Ouest,Préoccupante,2018-05-30,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Ours grizzli,Population de l'Ungava,Disparue,2012-05-04,Ursus arctos,,,Aucun statut,,Aucune annexe,,"Québec, Terre-Neuve-et-Labrador",Mammifères terrestres,,
Ours grizzli,Population des Prairies,Non active,2012-05-04,Ursus arctos,Ours grizzli,Population des Prairies,Aucun statut,2018-05-30,Aucune annexe,2003-06-05,"Alberta, Manitoba, Saskatchewan",Mammifères terrestres,,Retirer - Réaffectation ES
Ours grizzli,Population du Nord-Ouest,Non active,2012-05-04,Ursus arctos,Ours grizzli,Population du Nord-Ouest,Aucun statut,2005-01-12,Aucune annexe,,"Alberta, Colombie-Britannique, Nunavut, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Décision reportée - consultations supplémentaires requises
Ours noir,,Non en péril,1999-04-01,Ursus americanus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,
Oxytrope patte-de-lièvre,,Menacée,2014-05-02,Oxytropis lagopus,Oxytrope patte-de-lièvre,,Menacée,2018-02-02,Annexe 1,2018-02-02,Alberta,Plantes vasculaires,,Ajout à la liste
Pannaire jaune pâle,,Menacée,2016-04-29,Pannaria lurida,Pannaire jaune pâle,,Menacée,2019-02-25,Annexe 1,2019-02-25,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Terre-Neuve-et-Labrador",Lichens,,Ajout à la liste
Paruline à ailes dorées,,Menacée,2006-04-29,Vermivora chrysoptera,Paruline à ailes dorées,,Menacée,2007-12-13,Annexe 1,2007-12-13,"Manitoba, Ontario, Québec",Oiseaux,,Ajout à la liste
Paruline à capuchon,,Non en péril,2012-05-04,Setophaga citrina,Paruline à capuchon,,Aucun statut,2017-11-02,Aucune annexe,2003-06-05,Ontario,Oiseaux,,Retirer: Menacée à non en péril
Paruline azurée,,En voie de disparition,2010-11-26,Setophaga cerulea,Paruline azurée,,En voie de disparition,2017-11-02,Annexe 1,2005-01-12,"Ontario, Québec",Oiseaux,,Promouvoir: Préoccupante à en voie de disparition
Paruline de Kirtland,,En voie de disparition,2024-05-09,Setophaga kirtlandii,Paruline de Kirtland,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Oiseaux,,Ajout à la liste
Paruline des prés,,Non en péril,1999-04-01,Setophaga discolor,,,Aucun statut,,Aucune annexe,,Ontario,Oiseaux,,
Paruline du Canada,,Préoccupante,2020-11-04,Cardellina canadensis,Paruline du Canada,,Menacée,,Annexe 1,2010-02-23,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Oiseaux,Changement de statut,En attente
Paruline hochequeue,,Menacée,2015-11-26,Parkesia motacilla,Paruline hochequeue,,Menacée,2019-05-22,Annexe 1,2007-12-13,"Ontario, Québec",Oiseaux,,Promouvoir: Préoccupante à menacée
Paruline orangée,,En voie de disparition,2016-11-27,Protonotaria citrea,Paruline orangée,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Oiseaux,,Ajout à la liste
Paruline polyglotte de la sous-espèce auricollis,Population des montagnes du Sud,En voie de disparition,2011-11-25,Icteria virens auricollis,Paruline polyglotte de la sous-espèce auricollis,Population des montagnes du Sud,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Oiseaux,,Ajout à la liste
Paruline polyglotte de la sous-espèce auricollis,Population des Prairies,Non en péril,2011-11-25,Icteria virens auricollis,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Oiseaux,,
Paruline polyglotte de la sous-espèce virens,,En voie de disparition,2011-11-25,Icteria virens virens,Paruline polyglotte de la sous-espèce virens,,En voie de disparition,2017-11-02,Annexe 1,2003-06-05,Ontario,Oiseaux,,Promouvoir: Préoccupante à en voie de disparition
Patelle d'eau douce pointue,Population de l'Est,Données insuffisantes,2001-11-01,Acroloxus coloradensis,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Mollusques,,
Patelle d'eau douce pointue,Population de l'Ouest,Non en péril,2001-11-01,Acroloxus coloradensis,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique",Mollusques,,
Patelle des zostères,,Disparue,2000-05-01,Lottia alveus alveus,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mollusques,,
Patelle géante du fleuve Columbia,,En voie de disparition,2016-04-29,Fisherola nuttallii,Patelle géante du fleuve Columbia,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Mollusques,Un ajout,En attente
Patère de Pennsylvanie,,En voie de disparition,2015-05-01,Patera pennsylvanica,Patère de Pennsylvanie,,En voie de disparition,2019-02-25,Annexe 1,2019-02-25,Ontario,Mollusques,,Ajout à la liste
Pédiculaire de Furbish,,En voie de disparition,2011-05-06,Pedicularis furbishiae,Pédiculaire de Furbish,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Nouveau-Brunswick,Plantes vasculaires,,Ajout à la liste
Pèlerin,Population de l'Atlantique,Préoccupante,2009-11-27,Cetorhinus maximus,Pèlerin,Population de l'Atlantique,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Pèlerin,Population du Pacifique,En voie de disparition,2018-04-27,Cetorhinus maximus,Pèlerin,Population du Pacifique,En voie de disparition,2010-02-23,Annexe 1,2010-02-23,"Colombie-Britannique, Océan Pacifique",Poissons marins,,Ajout à la liste
Pélican d'Amérique,,Non en péril,1987-04-01,Pelecanus erythrorhynchos,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Ontario, Saskatchewan",Oiseaux,,
Peltigère éventail d'eau de l'Est,,Menacée,2013-11-01,Peltigera hydrothyria,Peltigère éventail d'eau de l'Est,,Menacée,2018-02-02,Annexe 1,2018-02-02,"Nouveau-Brunswick, Nouvelle-Écosse, Québec",Lichens,,Ajout à la liste
Peltigère éventail d'eau de l'Ouest,,Préoccupante,2013-11-01,Peltigera gowardii,Peltigère éventail d'eau de l'Ouest,,Préoccupante,2018-02-02,Annexe 1,2018-02-02,Colombie-Britannique,Lichens,,Ajout à la liste
Perce-tige d'Aweme,,Données insuffisantes,2020-11-04,Papaipema aweme,Perce-tige d'Aweme,,Aucun statut,2025-07-30,Aucune annexe,2007-12-13,"Manitoba, Ontario, Saskatchewan",Arthropodes,,Retirer - ES invalide
Perceur du ptéléa,,En voie de disparition,2015-11-26,Prays atomocella,Perceur du ptéléa,,En voie de disparition,2019-02-25,Annexe 1,2019-02-25,Ontario,Arthropodes,,Ajout à la liste
Petit Blongios,,Préoccupante,2024-11-28,Botaurus exilis,Petit Blongios,,Menacée,,Annexe 1,2003-06-05,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,Changement de statut,En attente
Petit chevalier,,Menacée,2020-11-04,Tringa flavipes,Petit chevalier,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,Un ajout,En attente
Petit dard,,Non en péril,1989-04-01,Etheostoma microperca,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Petit polatouche,,Non active,2006-04-29,Glaucomys volans,Petit polatouche,,,,,,"Nouvelle-Écosse, Ontario, Québec",Mammifères terrestres,,
Petit polatouche,Population de l'Atlantique (Nouvelle-Écosse),Non en péril,2006-04-29,Glaucomys volans,,,Aucun statut,,Aucune annexe,,Nouvelle-Écosse,Mammifères terrestres,,
Petit polatouche,Population des plaines des Grands Lacs,Non en péril,2006-04-29,Glaucomys volans,,,Aucun statut,,Aucune annexe,,"Ontario, Québec",Mammifères terrestres,,
Petit pompon,,Préoccupante,2014-11-28,Crossidium seriatum,Petit pompon,,Préoccupante,2019-02-25,Annexe 1,2019-02-25,Colombie-Britannique,Mousses,,Ajout à la liste
Petit rorqual de la sous-espèce de l'Atlantique Nord,,Non en péril,2006-04-29,Balaenoptera acutorostrata acutorostrata,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
Petit rorqual de la sous-espèce du Pacifique Nord,,Non en péril,2006-04-29,Balaenoptera acutorostrata scammonii,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Petit-bec,,En voie de disparition,2025-05-08,Opsopoeodus emiliae,Petit-bec,,Menacée,,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,Changement de statut,En attente
Petit-duc des montagnes,,Non active,2002-05-01,Megascops kennicottii,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Oiseaux,,
Petit-duc des montagnes de la sous-espèce kennicottii,,Menacée,2012-05-04,Megascops kennicottii kennicottii,Petit-duc des montagnes de la sous-espèce kennicottii,,Menacée,2017-02-03,Annexe 1,2005-01-12,Colombie-Britannique,Oiseaux,,Promouvoir: Préoccupante à menacée
Petit-duc des montagnes de la sous-espèce macfarlanei,,Menacée,2012-05-04,Megascops kennicottii macfarlanei,Petit-duc des montagnes de la sous-espèce macfarlanei,,Menacée,2017-02-03,Annexe 1,2005-01-12,Colombie-Britannique,Oiseaux,,Rétrograder: En voie de disparition à menacée
Petit-duc maculé,,Non en péril,1986-04-01,Megascops asio,,,Aucun statut,,Aucune annexe,,"Manitoba, Nouveau-Brunswick, Ontario, Québec, Saskatchewan",Oiseaux,,
Petit-duc nain,,Préoccupante,2010-04-25,Otus flammeolus,Petit-duc nain,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Oiseaux,,Ajout à la liste
Petite chauve-souris brune,,En voie de disparition,2013-11-01,Myotis lucifugus,Petite chauve-souris brune,,En voie de disparition,2014-11-26,Annexe 1,2014-11-26,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Petite Nyctale de la sous-espèce brooksi,,Menacée,2017-11-01,Aegolius acadicus brooksi,Petite Nyctale de la sous-espèce brooksi,,Menacée,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Oiseaux,,Ajout à la liste
Petite oréohélice,,En voie de disparition,2021-05-05,Oreohelix cooperi,Petite oréohélice,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Mollusques,Un ajout,En attente
Petite-centaurée de Muhlenberg,,En voie de disparition,2008-04-25,Centaurium muehlenbergii,Petite-centaurée de Muhlenberg,,En voie de disparition,2010-02-23,Annexe 1,2010-02-23,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Phacélie rameuse,,En voie de disparition,2005-05-05,Phacelia ramosissima,Phacélie rameuse,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Phalarope à bec étroit,,Préoccupante,2014-11-28,Phalaropus lobatus,Phalarope à bec étroit,,Préoccupante,2019-05-22,Annexe 1,2019-05-22,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Océan Arctique, Océan Atlantique, Océan Pacifique, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Ajout à la liste
Phasque de Vlassov,,En voie de disparition,2016-11-27,Microbryum vlassovii,Phasque de Vlassov,,En voie de disparition,2009-03-05,Annexe 1,2009-03-05,Colombie-Britannique,Mousses,,Ajout à la liste
Phégoptère à hexagones,,Préoccupante,1983-04-01,Phegopteris hexagonoptera,Phégoptère à hexagones,,,,,,"Ontario, Québec",Plantes vasculaires,,
Phéocalicie du chêne rouge,,Données insuffisantes,2002-11-01,Phaeocalicium minutissimum,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Québec",Lichens,,
Phlox à feuilles d’alysson,,Non en péril,1996-04-01,Phlox alyssifolia,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Plantes vasculaires,,
Phlox de l'Ouest,,Menacée,2004-11-01,Phlox speciosa ssp. occidentalis,Phlox de l'Ouest,,Menacée,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Pholade tronquée,,Menacée,2021-05-05,Barnea truncata,Pholade tronquée,,Menacée,2017-04-13,Annexe 1,2017-04-13,"Nouvelle-Écosse, Océan Atlantique",Mollusques,,Ajout à la liste
Pholcide de l’Ouest,,Non en péril,2014-05-02,Psilochorus hesperus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,,
Phoque à capuchon,,Non en péril,1986-04-01,Cystophora cristata,,,Aucun statut,,Aucune annexe,,"Océan Arctique, Océan Atlantique",Mammifères marins,,
Phoque annelé,,Préoccupante,2019-11-29,Pusa hispida,Phoque annelé,,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Océan Pacifique, Ontario, Québec, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères marins,Un ajout,En attente
Phoque barbu,,Données insuffisantes,2007-04-22,Erignathus barbatus,,,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Ontario, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Mammifères marins,,
Phoque commun de la sous-espèce de l'Atlantique et de l'est de l'Arctique,,Non en péril,2007-11-30,Phoca vitulina concolor,,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Océan Arctique, Océan Atlantique, Ontario, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Phoque commun de la sous-espèce des lacs des Loups Marins,,En voie de disparition,2018-04-27,Phoca vitulina mellonae,Phoque commun de la sous-espèce des Lacs des Loups Marins,,En voie de disparition,2017-04-13,Annexe 1,2017-04-13,Québec,Mammifères marins,,Ajout à la liste
Phoque commun de la sous-espèce du Pacifique,,Non en péril,1999-04-01,Phoca vitulina richardsi,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,
